Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure_Days,Total_Spending,Total_Children,Education_Graduate,Education_Postgraduate,Education_Undergraduate,Living_With_Alone,Living_With_Partner
58138.0,58,3,8,10,4,7,0,1,69,663,1617,0,1.0,0.0,0.0,1.0,0.0
46344.0,38,2,1,1,2,5,0,0,72,113,27,2,1.0,0.0,0.0,1.0,0.0
71613.0,26,1,8,2,10,4,0,0,61,312,776,0,1.0,0.0,0.0,0.0,1.0
26646.0,26,2,2,0,4,6,0,0,42,139,53,1,1.0,0.0,0.0,0.0,1.0
58293.0,94,5,5,3,6,5,0,0,45,161,422,1,0.0,1.0,0.0,0.0,1.0
62513.0,16,2,6,4,10,6,0,0,59,293,716,1,0.0,1.0,0.0,0.0,1.0
55635.0,34,4,7,3,7,6,0,0,55,593,590,1,1.0,0.0,0.0,1.0,0.0
33454.0,32,2,4,0,4,8,0,0,41,417,169,1,0.0,1.0,0.0,0.0,1.0
30351.0,19,1,3,0,2,9,0,1,52,388,46,1,0.0,1.0,0.0,0.0,1.0
5648.0,68,1,1,0,0,20,0,0,76,108,49,2,0.0,1.0,0.0,0.0,1.0
51381.5,11,1,1,0,2,7,0,0,43,226,19,1,1.0,0.0,0.0,0.0,1.0
7500.0,59,1,2,0,3,8,0,0,50,593,61,0,0.0,0.0,1.0,0.0,1.0
63033.0,82,1,3,4,8,2,0,0,67,226,1102,0,1.0,0.0,0.0,1.0,0.0
59354.0,53,3,6,1,5,6,0,0,74,226,310,2,0.0,1.0,0.0,1.0,0.0
17323.0,38,1,1,0,3,8,0,0,39,627,46,0,1.0,0.0,0.0,0.0,1.0
82800.0,23,1,7,6,12,3,0,1,80,582,1315,0,0.0,1.0,0.0,1.0,0.0
41850.0,51,3,3,0,3,8,0,0,46,552,96,2,1.0,0.0,0.0,0.0,1.0
37760.0,20,2,4,1,6,7,0,0,80,667,317,0,1.0,0.0,0.0,0.0,1.0
76995.0,91,2,11,4,9,5,0,0,77,458,1782,1,0.0,1.0,0.0,0.0,1.0
33812.0,86,2,2,1,3,6,0,0,41,603,133,1,0.0,0.0,1.0,1.0,0.0
37040.0,41,1,4,2,5,8,0,0,44,690,316,0,1.0,0.0,0.0,0.0,1.0
2447.0,42,15,0,28,0,1,0,0,47,539,1730,1,1.0,0.0,0.0,0.0,1.0
58607.0,63,3,2,3,9,8,0,0,77,553,972,1,0.0,1.0,0.0,0.0,1.0
65324.0,0,3,6,2,9,4,0,0,72,169,544,1,0.0,1.0,0.0,0.0,1.0
40689.0,69,7,7,1,5,8,0,0,75,468,444,1,1.0,0.0,0.0,0.0,1.0
18589.0,89,2,2,1,3,7,0,0,57,543,75,0,1.0,0.0,0.0,1.0,0.0
53359.0,4,4,5,1,4,7,0,0,50,398,257,2,1.0,0.0,0.0,0.0,1.0
51381.5,19,0,27,0,0,1,0,0,40,494,637,1,1.0,0.0,0.0,1.0,0.0
38360.0,26,2,2,1,4,3,0,0,37,394,131,1,1.0,0.0,0.0,0.0,1.0
84618.0,96,1,6,9,10,2,0,0,61,219,1672,0,0.0,1.0,0.0,0.0,1.0
10979.0,34,2,3,0,3,5,0,0,37,38,30,0,0.0,1.0,0.0,1.0,0.0
38620.0,56,1,2,5,3,3,0,0,63,414,318,0,0.0,1.0,0.0,0.0,1.0
40548.0,31,2,2,1,4,5,0,0,56,627,120,1,1.0,0.0,0.0,0.0,1.0
46610.0,8,6,4,1,6,6,0,1,74,608,302,2,0.0,1.0,0.0,1.0,0.0
